OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-18-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-18-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-18-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,Carrer del Torrent de l'Olla, 221,Barcelona,0193,Barcelona,08,3,cotxe,,93.218.09.42,92086026155,BSM002
08-0193-19-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
08-0193-19-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
08-0193-19-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,cotxe,,93.417.93.56,92086038544,BSM003
08-0193-19-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.401408,2.133986,B:SM 12 - Ferran Casablancas,Carrer de Josep Balari, 9,Barcelona,0193,Barcelona,08,4,moto,,93.417.93.56,92086038544,BSM003
08-0193-20-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.389954,2.128284,B:SM 11 - Flos i Calcat,Carrer de Flos i Calcat, 2,Barcelona,0193,Barcelona,08,4,cotxe,,93.205.22.60,92352141944,BSM004
08-0193-20-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.389954,2.128284,B:SM 11 - Flos i Calcat,Carrer de Flos i Calcat, 2,Barcelona,0193,Barcelona,08,4,cotxe,,93.205.22.60,92352141944,BSM004
08-0193-20-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.389954,2.128284,B:SM 11 - Flos i Calcat,Carrer de Flos i Calcat, 2,Barcelona,0193,Barcelona,08,4,cotxe,,93.205.22.60,92352141944,BSM004
08-0193-20-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.389954,2.128284,B:SM 11 - Flos i Calcat,Carrer de Flos i Calcat, 2,Barcelona,0193,Barcelona,08,4,moto,,93.205.22.60,92352141944,BSM004
08-0193-21-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.406731,2.133691,B:SM 27 - Plaça Bonanova,Plaça de la Bonanova, 12,Barcelona,0193,Barcelona,08,4,cotxe,,93.418.93.85,99400155513,BSM005
08-0193-21-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.406731,2.133691,B:SM 27 - Plaça Bonanova,Plaça de la Bonanova, 12,Barcelona,0193,Barcelona,08,4,cotxe,,93.418.93.85,99400155513,BSM005
08-0193-21-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.406731,2.133691,B:SM 27 - Plaça Bonanova,Plaça de la Bonanova, 12,Barcelona,0193,Barcelona,08,4,cotxe,,93.418.93.85,99400155513,BSM005
08-0193-21-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.406731,2.133691,B:SM 27 - Plaça Bonanova,Plaça de la Bonanova, 12,Barcelona,0193,Barcelona,08,4,moto,,93.418.93.85,99400155513,BSM005
08-0193-22-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,Carrer de Cartagena, 319 (E1) , Carrer dels Castillejos, 330 (E2),Barcelona,0193,Barcelona,08,4,cotxe,,93.435.17.46,92086026153,BSM006
08-0193-22-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,Carrer de Cartagena, 319 (E1) , Carrer dels Castillejos, 330 (E2),Barcelona,0193,Barcelona,08,4,cotxe,,93.435.17.46,92086026153,BSM006
